track,car,speedX,speedY,speedZ,angle,trackPos,rpm,gear,distRaced,damage,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,focus0,focus1,focus2,focus3,focus4,wheelSpinVel0,wheelSpinVel1,wheelSpinVel2,wheelSpinVel3,opponents0,opponents1,opponents2,opponents3,opponents4,opponents5,opponents6,opponents7,opponents8,opponents9,opponents10,opponents11,opponents12,opponents13,opponents14,opponents15,opponents16,opponents17,opponents18,opponents19,opponents20,opponents21,opponents22,opponents23,opponents24,opponents25,opponents26,opponents27,opponents28,opponents29,opponents30,opponents31,opponents32,opponents33,opponents34,opponents35,steering,accel,brake,clutch,meta,focusCmd,is_ml,left,right,up,down,r
unknown,unknown_car,-0.0407558,0.134994,-0.038691,0.057358,0.339859,2094.4,0,0.0,1.0,9.91842,10.4288,11.8455,14.8813,22.0276,34.4316,48.774,84.7008,200.0,200.0,139.452,87.4512,64.0536,50.8387,36.6199,26.9236,22.4994,20.5253,20.131,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.71069,-1.57908,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.2107,200.0,31.6844,51.0121,20.0409,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
unknown,unknown_car,-0.0407558,0.134994,-0.038691,0.057358,0.339859,2094.4,0,0.0,1.0,9.91842,10.4288,11.8455,14.8813,22.0276,34.4316,48.774,84.7008,200.0,200.0,139.452,87.4512,64.0536,50.8387,36.6199,26.9236,22.4994,20.5253,20.131,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.71069,-1.57908,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.2107,200.0,31.6844,51.0121,20.0409,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
unknown,unknown_car,-0.0407558,0.134994,-0.038691,0.057358,0.339859,2094.4,0,0.0,1.0,9.91842,10.4288,11.8455,14.8813,22.0276,34.4316,48.774,84.7008,200.0,200.0,139.452,87.4512,64.0536,50.8387,36.6199,26.9236,22.4994,20.5253,20.131,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.71069,-1.57908,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.2107,200.0,31.6844,51.0121,20.0409,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
unknown,unknown_car,-0.0407558,0.134994,-0.038691,0.057358,0.339859,2094.4,0,0.0,1.0,9.91842,10.4288,11.8455,14.8813,22.0276,34.4316,48.774,84.7008,200.0,200.0,139.452,87.4512,64.0536,50.8387,36.6199,26.9236,22.4994,20.5253,20.131,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.71069,-1.57908,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.2107,200.0,31.6844,51.0121,20.0409,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
unknown,unknown_car,-0.0407558,0.134994,-0.038691,0.057358,0.339859,2094.4,0,0.0,1.0,9.91842,10.4288,11.8455,14.8813,22.0276,34.4316,48.774,84.7008,200.0,200.0,139.452,87.4512,64.0536,50.8387,36.6199,26.9236,22.4994,20.5253,20.131,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.71069,-1.57908,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.2107,200.0,31.6844,51.0121,20.0409,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
unknown,unknown_car,-0.0407558,0.134994,-0.038691,0.057358,0.339859,2094.4,0,0.0,1.0,9.91842,10.4288,11.8455,14.8813,22.0276,34.4316,48.774,84.7008,200.0,200.0,139.452,87.4512,64.0536,50.8387,36.6199,26.9236,22.4994,20.5253,20.131,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.71069,-1.57908,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.2107,200.0,31.6844,51.0121,20.0409,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
unknown,unknown_car,-0.0407558,0.134994,-0.038691,0.057358,0.339859,2094.4,0,0.0,1.0,9.91842,10.4288,11.8455,14.8813,22.0276,34.4316,48.774,84.7008,200.0,200.0,139.452,87.4512,64.0536,50.8387,36.6199,26.9236,22.4994,20.5253,20.131,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.71069,-1.57908,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.2107,200.0,31.6844,51.0121,20.0409,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
unknown,unknown_car,-0.0407558,0.134994,-0.038691,0.057358,0.339859,2094.4,0,0.0,1.0,9.91842,10.4288,11.8455,14.8813,22.0276,34.4316,48.774,84.7008,200.0,200.0,139.452,87.4512,64.0536,50.8387,36.6199,26.9236,22.4994,20.5253,20.131,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.71069,-1.57908,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.2107,200.0,31.6844,51.0121,20.0409,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
unknown,unknown_car,-0.0407558,0.134994,-0.038691,0.057358,0.339859,2094.4,0,0.0,1.0,9.91842,10.4288,11.8455,14.8813,22.0276,34.4316,48.774,84.7008,200.0,200.0,139.452,87.4512,64.0536,50.8387,36.6199,26.9236,22.4994,20.5253,20.131,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.71069,-1.57908,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.2107,200.0,31.6844,51.0121,20.0409,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
unknown,unknown_car,-0.0407558,0.134994,-0.038691,0.057358,0.339859,2094.4,0,0.0,1.0,9.91842,10.4288,11.8455,14.8813,22.0276,34.4316,48.774,84.7008,200.0,200.0,139.452,87.4512,64.0536,50.8387,36.6199,26.9236,22.4994,20.5253,20.131,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.71069,-1.57908,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,14.2107,200.0,31.6844,51.0121,20.0409,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
