track,car,speedX,speedY,speedZ,angle,trackPos,rpm,gear,distRaced,damage,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,focus0,focus1,focus2,focus3,focus4,wheelSpinVel0,wheelSpinVel1,wheelSpinVel2,wheelSpinVel3,opponents0,opponents1,opponents2,opponents3,opponents4,opponents5,opponents6,opponents7,opponents8,opponents9,opponents10,opponents11,opponents12,opponents13,opponents14,opponents15,opponents16,opponents17,opponents18,opponents19,opponents20,opponents21,opponents22,opponents23,opponents24,opponents25,opponents26,opponents27,opponents28,opponents29,opponents30,opponents31,opponents32,opponents33,opponents34,opponents35,steering,accel,brake,clutch,meta,focusCmd,is_ml,left,right,up,down,r,commandedGear
dirt-2,pw-evoviwrc,-0.0489489,0.0108247,-0.0515377,7.98067e-05,0.333178,1047.2,0,0.0,0.0,3.33411,3.4518,3.85007,4.71552,6.66914,9.75041,12.8858,19.209,56.4862,49.3961,41.8935,34.0104,25.7474,19.4855,13.3299,9.42624,7.69675,6.90089,6.66589,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.603408,0.60629,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.5407,20.0003,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
dirt-2,pw-evoviwrc,-0.0489489,0.0108247,-0.0515377,7.98067e-05,0.333178,1047.2,0,0.0,0.0,3.33411,3.4518,3.85007,4.71552,6.66914,9.75041,12.8858,19.209,56.4862,49.3961,41.8935,34.0104,25.7474,19.4855,13.3299,9.42624,7.69675,6.90089,6.66589,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.603408,0.60629,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.5407,20.0003,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
dirt-2,pw-evoviwrc,-0.0489489,0.0108247,-0.0515377,7.98067e-05,0.333178,1047.2,0,0.0,0.0,3.33411,3.4518,3.85007,4.71552,6.66914,9.75041,12.8858,19.209,56.4862,49.3961,41.8935,34.0104,25.7474,19.4855,13.3299,9.42624,7.69675,6.90089,6.66589,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.603408,0.60629,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.5407,20.0003,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
dirt-2,pw-evoviwrc,-0.0489489,0.0108247,-0.0515377,7.98067e-05,0.333178,1047.2,0,0.0,0.0,3.33411,3.4518,3.85007,4.71552,6.66914,9.75041,12.8858,19.209,56.4862,49.3961,41.8935,34.0104,25.7474,19.4855,13.3299,9.42624,7.69675,6.90089,6.66589,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.603408,0.60629,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.5407,20.0003,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
dirt-2,pw-evoviwrc,-0.0489489,0.0108247,-0.0515377,7.98067e-05,0.333178,1047.2,0,0.0,0.0,3.33411,3.4518,3.85007,4.71552,6.66914,9.75041,12.8858,19.209,56.4862,49.3961,41.8935,34.0104,25.7474,19.4855,13.3299,9.42624,7.69675,6.90089,6.66589,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.603408,0.60629,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.5407,20.0003,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
dirt-2,pw-evoviwrc,-0.0489489,0.0108247,-0.0515377,7.98067e-05,0.333178,1047.2,0,0.0,0.0,3.33411,3.4518,3.85007,4.71552,6.66914,9.75041,12.8858,19.209,56.4862,49.3961,41.8935,34.0104,25.7474,19.4855,13.3299,9.42624,7.69675,6.90089,6.66589,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.603408,0.60629,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.5407,20.0003,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
dirt-2,pw-evoviwrc,-0.0489489,0.0108247,-0.0515377,7.98067e-05,0.333178,1047.2,0,0.0,0.0,3.33411,3.4518,3.85007,4.71552,6.66914,9.75041,12.8858,19.209,56.4862,49.3961,41.8935,34.0104,25.7474,19.4855,13.3299,9.42624,7.69675,6.90089,6.66589,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.603408,0.60629,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.5407,20.0003,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
dirt-2,pw-evoviwrc,-0.0489489,0.0108247,-0.0515377,7.98067e-05,0.333178,1047.2,0,0.0,0.0,3.33411,3.4518,3.85007,4.71552,6.66914,9.75041,12.8858,19.209,56.4862,49.3961,41.8935,34.0104,25.7474,19.4855,13.3299,9.42624,7.69675,6.90089,6.66589,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.603408,0.60629,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.5407,20.0003,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
dirt-2,pw-evoviwrc,-0.0489489,0.0108247,-0.0515377,7.98067e-05,0.333178,1047.2,0,0.0,0.0,3.33411,3.4518,3.85007,4.71552,6.66914,9.75041,12.8858,19.209,56.4862,49.3961,41.8935,34.0104,25.7474,19.4855,13.3299,9.42624,7.69675,6.90089,6.66589,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.603408,0.60629,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.5407,20.0003,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
dirt-2,pw-evoviwrc,-0.0489489,0.0108247,-0.0515377,7.98067e-05,0.333178,1047.2,0,0.0,0.0,3.33411,3.4518,3.85007,4.71552,6.66914,9.75041,12.8858,19.209,56.4862,49.3961,41.8935,34.0104,25.7474,19.4855,13.3299,9.42624,7.69675,6.90089,6.66589,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.603408,0.60629,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.5407,20.0003,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
dirt-2,pw-evoviwrc,-0.0489489,0.0108247,-0.0515377,7.98067e-05,0.333178,1047.2,0,0.0,0.0,3.33411,3.4518,3.85007,4.71552,6.66914,9.75041,12.8858,19.209,56.4862,49.3961,41.8935,34.0104,25.7474,19.4855,13.3299,9.42624,7.69675,6.90089,6.66589,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.603408,0.60629,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.5407,20.0003,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
dirt-2,pw-evoviwrc,-0.0489489,0.0108247,-0.0515377,7.98067e-05,0.333178,1047.2,0,0.0,0.0,3.33411,3.4518,3.85007,4.71552,6.66914,9.75041,12.8858,19.209,56.4862,49.3961,41.8935,34.0104,25.7474,19.4855,13.3299,9.42624,7.69675,6.90089,6.66589,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.603408,0.60629,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,10.5407,20.0003,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
